"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"597x10"	"100x32"	"FxTxT"	94636
"597x10"	"100x32"	"FxTxT"	92980
"48160x10"	"500x16"	"CMOVxTxT"	5857952
"48160x10"	"500x16"	"CMOVxTxT"	6067236
"48160x10"	"500x16"	"CMOVxTxT"	5979928
"48160x10"	"500x16"	"CMOVxTxT"	5933120
"48160x10"	"500x16"	"CMOVxTxT"	5896656
"898885xF"	"Fx32"	"FxTxF"	102499772
"898885xF"	"Fx32"	"FxTxF"	104386672
"898885xF"	"Fx32"	"FxTxF"	103742896
"898885xF"	"Fx32"	"FxTxF"	103074180
"898885xF"	"Fx32"	"FxTxF"	104040584
"16777216xF"	"50x32"	"CMOVxFxF"	3404717340
"16777216xF"	"50x32"	"CMOVxFxF"	3460687136
"16777216xF"	"50x32"	"CMOVxFxF"	3467928460
"16777216xF"	"50x32"	"CMOVxFxF"	3479947012
"16777216xF"	"50x32"	"CMOVxFxF"	3482607956
"138x500"	"FxF"	"FxTxF"	19444
"138x500"	"FxF"	"FxTxF"	34164
"138x500"	"FxF"	"FxTxF"	19836
"138x500"	"FxF"	"FxTxF"	19860
"138x500"	"FxF"	"FxTxF"	19400
"48160x10"	"100x8"	"CMOVxFxF"	9358464
"48160x10"	"100x8"	"CMOVxFxF"	9474284
"48160x10"	"100x8"	"CMOVxFxF"	9245772
"48160x10"	"100x8"	"CMOVxFxF"	9390820
"48160x10"	"100x8"	"CMOVxFxF"	9369248
"32xT"	"Fx16"	"CMOVxFxF"	2144
"32xT"	"Fx16"	"CMOVxFxF"	2288
"32xT"	"Fx16"	"CMOVxFxF"	2224
"32xT"	"Fx16"	"CMOVxFxF"	2188
"32xT"	"Fx16"	"CMOVxFxF"	2024
"11148xF"	"100x16"	"FxFxF"	2802224
"11148xF"	"100x16"	"FxFxF"	2763480
"11148xF"	"100x16"	"FxFxF"	2784420
"11148xF"	"100x16"	"FxFxF"	2766436
"11148xF"	"100x16"	"FxFxF"	2786628
"48160x500"	"2xF"	"TxTxT"	5033312
"48160x500"	"2xF"	"TxTxT"	4882920
"48160x500"	"2xF"	"TxTxT"	4728000
"48160x500"	"2xF"	"TxTxT"	4786500
"48160x500"	"2xF"	"TxTxT"	5116440
"16777216xF"	"2x32"	"FxTxT"	1169012208
"16777216xF"	"2x32"	"FxTxT"	1244787288
"16777216xF"	"2x32"	"FxTxT"	1196736860
"16777216xF"	"2x32"	"FxTxT"	1230499184
"16777216xF"	"2x32"	"FxTxT"	1152183020
"2580x10"	"1000x16"	"TxTxT"	489516
"2580x10"	"1000x16"	"TxTxT"	489352
"2580x10"	"1000x16"	"TxTxT"	481492
"2580x10"	"1000x16"	"TxTxT"	492416
"2580x10"	"1000x16"	"TxTxT"	487832
"32x500"	"10x8"	"FxTxF"	4932
"32x500"	"10x8"	"FxTxF"	5112
"32x500"	"10x8"	"FxTxF"	5040
"32x500"	"10x8"	"FxTxF"	5092
"32x500"	"10x8"	"FxTxF"	5172
"2580x10"	"5xF"	"CMOVxTxT"	210160
"2580x10"	"5xF"	"CMOVxTxT"	204924
"2580x10"	"5xF"	"CMOVxTxT"	216088
"2580x10"	"5xF"	"CMOVxTxT"	212296
"2580x10"	"5xF"	"CMOVxTxT"	207408
"16777216x10"	"Tx32"	"TxTxT"	21559412544
"16777216x10"	"Tx32"	"TxTxT"	21443668288
"16777216x10"	"Tx32"	"TxTxT"	21204325928
"16777216x10"	"Tx32"	"TxTxT"	21299975632
"16777216x10"	"Tx32"	"TxTxT"	21168946932
"597x10"	"Fx8"	"CMOVxTxT"	20128
"597x10"	"Fx8"	"CMOVxTxT"	19428
"597x10"	"Fx8"	"CMOVxTxT"	19592
"597x10"	"Fx8"	"CMOVxTxT"	19304
"597x10"	"Fx8"	"CMOVxTxT"	18260
"11148xF"	"TxF"	"CMOVxTxT"	2715332
"11148xF"	"TxF"	"CMOVxTxT"	2732832
"11148xF"	"TxF"	"CMOVxTxT"	2739924
"11148xF"	"TxF"	"CMOVxTxT"	2718304
"11148xF"	"TxF"	"CMOVxTxT"	2719168
"3883400x10"	"500x32"	"CMOVxTxF"	1118316532
"3883400x10"	"500x32"	"CMOVxTxF"	1119561144
"3883400x10"	"500x32"	"CMOVxTxF"	1115455080
"3883400x10"	"500x32"	"CMOVxTxF"	1113357268
"3883400x10"	"500x32"	"CMOVxTxF"	1110105508
"138x500"	"10x32"	"TxFxT"	12896
"138x500"	"10x32"	"TxFxT"	12224
"138x500"	"10x32"	"TxFxT"	13548
"138x500"	"10x32"	"TxFxT"	11840
"138x500"	"10x32"	"TxFxT"	11712
"11148xT"	"100xF"	"FxFxF"	3588384
"11148xT"	"100xF"	"FxFxF"	3743068
"11148xT"	"100xF"	"FxFxF"	3710244
"11148xT"	"100xF"	"FxFxF"	3589908
"11148xT"	"100xF"	"FxFxF"	3651952
"2580xT"	"5x8"	"CMOVxFxF"	292044
"2580xT"	"5x8"	"CMOVxFxF"	265460
"2580xT"	"5x8"	"CMOVxFxF"	334736
"2580xT"	"5x8"	"CMOVxFxF"	322592
"2580xT"	"5x8"	"CMOVxFxF"	295804
"32xT"	"1x8"	"TxFxF"	3424
"32xT"	"1x8"	"TxFxF"	3108
"32xT"	"1x8"	"TxFxF"	3096
"32xT"	"1x8"	"TxFxF"	2908
"32xT"	"1x8"	"TxFxF"	2760
"32x10"	"2x8"	"CMOVxTxF"	3512
"32x10"	"2x8"	"CMOVxTxF"	3152
"32x10"	"2x8"	"CMOVxTxF"	3100
"32x10"	"2x8"	"CMOVxTxF"	3056
"32x10"	"2x8"	"CMOVxTxF"	3308
"48160xT"	"100x32"	"TxFxT"	16672784
"48160xT"	"100x32"	"TxFxT"	15870564
"48160xT"	"100x32"	"TxFxT"	15587212
"48160xT"	"100x32"	"TxFxT"	15719504
"48160xT"	"100x32"	"TxFxT"	15662524
"3883400x10"	"10x8"	"CMOVxFxF"	543825948
"3883400x10"	"10x8"	"CMOVxFxF"	497170900
"3883400x10"	"10x8"	"CMOVxFxF"	539219776
"3883400x10"	"10x8"	"CMOVxFxF"	557498592
"3883400x10"	"10x8"	"CMOVxFxF"	512229772
"597x500"	"100xF"	"TxFxT"	79476
"597x500"	"100xF"	"TxFxT"	79596
"597x500"	"100xF"	"TxFxT"	80208
"597x500"	"100xF"	"TxFxT"	76652
"597x500"	"100xF"	"TxFxT"	75876
"16777216x500"	"Fx32"	"CMOVxTxF"	1150514988
"16777216x500"	"Fx32"	"CMOVxTxF"	1150842984
"16777216x500"	"Fx32"	"CMOVxTxF"	1150880020
"16777216x500"	"Fx32"	"CMOVxTxF"	1150808356
"16777216x500"	"Fx32"	"CMOVxTxF"	1150994004
"898885xF"	"10x16"	"TxFxT"	60368788
"898885xF"	"10x16"	"TxFxT"	61701792
"898885xF"	"10x16"	"TxFxT"	56674116
"898885xF"	"10x16"	"TxFxT"	59532792
"898885xF"	"10x16"	"TxFxT"	61256632
"16777216xF"	"5x16"	"FxFxF"	2515423748
"16777216xF"	"5x16"	"FxFxF"	2685989948
"16777216xF"	"5x16"	"FxFxF"	2540495576
"16777216xF"	"5x16"	"FxFxF"	2519482820
"16777216xF"	"5x16"	"FxFxF"	2476226804
"208064x500"	"Tx8"	"TxFxF"	120202092
"208064x500"	"Tx8"	"TxFxF"	120537444
"208064x500"	"Tx8"	"TxFxF"	120696476
"208064x500"	"Tx8"	"TxFxF"	120899632
"208064x500"	"Tx8"	"TxFxF"	120633756
"2580xF"	"100xF"	"CMOVxTxF"	559812
"2580xF"	"100xF"	"CMOVxTxF"	555352
"2580xF"	"100xF"	"CMOVxTxF"	554032
"2580xF"	"100xF"	"CMOVxTxF"	556020
"2580xF"	"100xF"	"CMOVxTxF"	549908
"16777216xF"	"1000x8"	"CMOVxTxF"	4621986528
"16777216xF"	"1000x8"	"CMOVxTxF"	4629454296
"16777216xF"	"1000x8"	"CMOVxTxF"	4616853916
"16777216xF"	"1000x8"	"CMOVxTxF"	4607227772
"16777216xF"	"1000x8"	"CMOVxTxF"	4598225084
"898885x500"	"50xF"	"FxTxT"	129126960
"898885x500"	"50xF"	"FxTxT"	128071440
"898885x500"	"50xF"	"FxTxT"	126956148
"898885x500"	"50xF"	"FxTxT"	126294376
"898885x500"	"50xF"	"FxTxT"	126145740
"11148x500"	"1000x16"	"TxFxF"	3150260
"11148x500"	"1000x16"	"TxFxF"	3134836
"11148x500"	"1000x16"	"TxFxF"	3136504
"11148x500"	"1000x16"	"TxFxF"	3144920
"11148x500"	"1000x16"	"TxFxF"	3146044
"3883400xF"	"100x32"	"FxTxF"	1004927232
"3883400xF"	"100x32"	"FxTxF"	1008765988
"3883400xF"	"100x32"	"FxTxF"	1006717140
"3883400xF"	"100x32"	"FxTxF"	998334700
"3883400xF"	"100x32"	"FxTxF"	991541700
"11148x500"	"500x32"	"CMOVxFxF"	3137572
"11148x500"	"500x32"	"CMOVxFxF"	2999040
"11148x500"	"500x32"	"CMOVxFxF"	3016392
"11148x500"	"500x32"	"CMOVxFxF"	2997228
"11148x500"	"500x32"	"CMOVxFxF"	2993716
"898885xF"	"500x32"	"FxFxF"	281652460
"898885xF"	"500x32"	"FxFxF"	280428232
"898885xF"	"500x32"	"FxFxF"	282154752
"898885xF"	"500x32"	"FxFxF"	282632120
"898885xF"	"500x32"	"FxFxF"	281330688
"898885x10"	"5x8"	"FxFxF"	121150680
"898885x10"	"5x8"	"FxFxF"	148736012
"898885x10"	"5x8"	"FxFxF"	121061996
"898885x10"	"5x8"	"FxFxF"	147188032
"898885x10"	"5x8"	"FxFxF"	137276096
"11148xT"	"Tx32"	"FxTxF"	4488888
"11148xT"	"Tx32"	"FxTxF"	4681004
"11148xT"	"Tx32"	"FxTxF"	4491156
"11148xT"	"Tx32"	"FxTxF"	4510884
"11148xT"	"Tx32"	"FxTxF"	4518828
"2580xF"	"5x16"	"CMOVxFxF"	296620
"2580xF"	"5x16"	"CMOVxFxF"	273064
"2580xF"	"5x16"	"CMOVxFxF"	334084
"2580xF"	"5x16"	"CMOVxFxF"	326684
"2580xF"	"5x16"	"CMOVxFxF"	303688
"208064x500"	"TxF"	"FxTxF"	128949228
"208064x500"	"TxF"	"FxTxF"	129266644
"208064x500"	"TxF"	"FxTxF"	129575680
"208064x500"	"TxF"	"FxTxF"	129347520
"208064x500"	"TxF"	"FxTxF"	129245568
"32xT"	"500x8"	"FxTxT"	4632
"32xT"	"500x8"	"FxTxT"	4628
"32xT"	"500x8"	"FxTxT"	4200
"32xT"	"500x8"	"FxTxT"	4156
"32xT"	"500x8"	"FxTxT"	4256
"11148x10"	"50x16"	"CMOVxTxF"	2090324
"11148x10"	"50x16"	"CMOVxTxF"	1994068
"11148x10"	"50x16"	"CMOVxTxF"	2056308
"11148x10"	"50x16"	"CMOVxTxF"	1998092
"11148x10"	"50x16"	"CMOVxTxF"	2041000
"11148xF"	"Tx8"	"FxTxF"	4015404
"11148xF"	"Tx8"	"FxTxF"	4141772
"11148xF"	"Tx8"	"FxTxF"	4083920
"11148xF"	"Tx8"	"FxTxF"	4045156
"11148xF"	"Tx8"	"FxTxF"	4052824
"11148xF"	"10x32"	"TxTxT"	784928
"11148xF"	"10x32"	"TxTxT"	715652
"11148xF"	"10x32"	"TxTxT"	747492
"11148xF"	"10x32"	"TxTxT"	763956
"11148xF"	"10x32"	"TxTxT"	707364
"898885xT"	"100x16"	"FxTxF"	809571372
"898885xT"	"100x16"	"FxTxF"	825246624
"898885xT"	"100x16"	"FxTxF"	847031804
"898885xT"	"100x16"	"FxTxF"	1139060428
"898885xT"	"100x16"	"FxTxF"	1123509828
"208064x10"	"500xF"	"CMOVxFxT"	28790132
"208064x10"	"500xF"	"CMOVxFxT"	28782260
"208064x10"	"500xF"	"CMOVxFxT"	28713988
"208064x10"	"500xF"	"CMOVxFxT"	28515700
"208064x10"	"500xF"	"CMOVxFxT"	28782772
"597xF"	"2xF"	"TxFxT"	40980
"597xF"	"2xF"	"TxFxT"	42008
"597xF"	"2xF"	"TxFxT"	38120
"597xF"	"2xF"	"TxFxT"	40076
"597xF"	"2xF"	"TxFxT"	40644
"32xT"	"1xF"	"FxTxF"	4388
"32xT"	"1xF"	"FxTxF"	4296
"32xT"	"1xF"	"FxTxF"	4180
"32xT"	"1xF"	"FxTxF"	4180
"32xT"	"1xF"	"FxTxF"	4148
"597xF"	"Fx8"	"CMOVxTxF"	24632
"597xF"	"Fx8"	"CMOVxTxF"	24392
"597xF"	"Fx8"	"CMOVxTxF"	24012
"597xF"	"Fx8"	"CMOVxTxF"	24188
"597xF"	"Fx8"	"CMOVxTxF"	24024
"48160xT"	"50x8"	"FxFxT"	16086000
"48160xT"	"50x8"	"FxFxT"	18571360
"48160xT"	"50x8"	"FxFxT"	17356632
"48160xT"	"50x8"	"FxFxT"	17984672
"48160xT"	"50x8"	"FxFxT"	14783900
"16777216xT"	"500x32"	"CMOVxTxT"	41459735612
"16777216xT"	"500x32"	"CMOVxTxT"	41616665156
"16777216xT"	"500x32"	"CMOVxTxT"	41535532660
"16777216xT"	"500x32"	"CMOVxTxT"	41724363708
"16777216xT"	"500x32"	"CMOVxTxT"	41339593156
"48160x500"	"500x16"	"FxTxF"	15641728
"48160x500"	"500x16"	"FxTxF"	15771920
"48160x500"	"500x16"	"FxTxF"	15463936
"48160x500"	"500x16"	"FxTxF"	15268876
"48160x500"	"500x16"	"FxTxF"	15077116
"11148x10"	"Fx32"	"FxFxF"	1180140
"11148x10"	"Fx32"	"FxFxF"	1189948
"11148x10"	"Fx32"	"FxFxF"	1176512
"11148x10"	"Fx32"	"FxFxF"	1177440
"11148x10"	"Fx32"	"FxFxF"	1177840
"597x10"	"10x32"	"CMOVxFxT"	45368
"597x10"	"10x32"	"CMOVxFxT"	47948
"597x10"	"10x32"	"CMOVxFxT"	44728
"597x10"	"10x32"	"CMOVxFxT"	46388
"597x10"	"10x32"	"CMOVxFxT"	47188
"16777216xT"	"500x8"	"TxFxF"	43571099168
"16777216xT"	"500x8"	"TxFxF"	43657468108
"16777216xT"	"500x8"	"TxFxF"	43665095232
"16777216xT"	"500x8"	"TxFxF"	43896590420
"16777216xT"	"500x8"	"TxFxF"	43378233888
"138xT"	"50xF"	"FxFxT"	20928
"138xT"	"50xF"	"FxFxT"	20284
"138xT"	"50xF"	"FxFxT"	19784
"138xT"	"50xF"	"FxFxT"	19808
"138xT"	"50xF"	"FxFxT"	19236
"208064xF"	"FxF"	"TxTxT"	19505556
"208064xF"	"FxF"	"TxTxT"	19634788
"208064xF"	"FxF"	"TxTxT"	19419792
"208064xF"	"FxF"	"TxTxT"	19389904
"208064xF"	"FxF"	"TxTxT"	19356888
"3883400x10"	"2xF"	"FxFxF"	1162076572
"3883400x10"	"2xF"	"FxFxF"	1129253500
"3883400x10"	"2xF"	"FxFxF"	1197451996
"3883400x10"	"2xF"	"FxFxF"	1160949724
"3883400x10"	"2xF"	"FxFxF"	1170075216
"48160x500"	"500x8"	"CMOVxTxT"	6634720
"48160x500"	"500x8"	"CMOVxTxT"	6490884
"48160x500"	"500x8"	"CMOVxTxT"	6329160
"48160x500"	"500x8"	"CMOVxTxT"	6263908
"48160x500"	"500x8"	"CMOVxTxT"	6194156
"2580x500"	"10x16"	"FxFxF"	474340
"2580x500"	"10x16"	"FxFxF"	463020
"2580x500"	"10x16"	"FxFxF"	473692
"2580x500"	"10x16"	"FxFxF"	470760
"2580x500"	"10x16"	"FxFxF"	455752
"898885xF"	"Fx16"	"CMOVxTxT"	35059116
"898885xF"	"Fx16"	"CMOVxTxT"	35471516
"898885xF"	"Fx16"	"CMOVxTxT"	35286712
"898885xF"	"Fx16"	"CMOVxTxT"	35128572
"898885xF"	"Fx16"	"CMOVxTxT"	35275516
"16777216x500"	"50x32"	"FxFxF"	3866103120
"16777216x500"	"50x32"	"FxFxF"	3883292912
"16777216x500"	"50x32"	"FxFxF"	3868004672
"16777216x500"	"50x32"	"FxFxF"	3932548804
"16777216x500"	"50x32"	"FxFxF"	3917370876
"11148x10"	"5x16"	"FxTxF"	1725276
"11148x10"	"5x16"	"FxTxF"	1673028
"11148x10"	"5x16"	"FxTxF"	1613576
"11148x10"	"5x16"	"FxTxF"	1576784
"11148x10"	"5x16"	"FxTxF"	1605956
"11148xF"	"50x32"	"FxTxT"	1283164
"11148xF"	"50x32"	"FxTxT"	1237684
"11148xF"	"50x32"	"FxTxT"	1257328
"11148xF"	"50x32"	"FxTxT"	1251792
"11148xF"	"50x32"	"FxTxT"	1255892
"138x500"	"100x8"	"FxTxT"	23208
"138x500"	"100x8"	"FxTxT"	22568
"138x500"	"100x8"	"FxTxT"	22980
"138x500"	"100x8"	"FxTxT"	22020
"138x500"	"100x8"	"FxTxT"	21600
"32x500"	"10x16"	"TxFxF"	4212
"32x500"	"10x16"	"TxFxF"	4152
"32x500"	"10x16"	"TxFxF"	4332
"32x500"	"10x16"	"TxFxF"	4032
"32x500"	"10x16"	"TxFxF"	4012
"208064xT"	"FxF"	"CMOVxFxF"	109562496
"208064xT"	"FxF"	"CMOVxFxF"	107899364
"208064xT"	"FxF"	"CMOVxFxF"	108208804
"208064xT"	"FxF"	"CMOVxFxF"	107794408
"208064xT"	"FxF"	"CMOVxFxF"	106982060
"48160x500"	"100xF"	"CMOVxFxF"	13455252
"48160x500"	"100xF"	"CMOVxFxF"	13701032
"48160x500"	"100xF"	"CMOVxFxF"	13073960
"48160x500"	"100xF"	"CMOVxFxF"	13039684
"48160x500"	"100xF"	"CMOVxFxF"	13037192
"138xF"	"100x32"	"CMOVxFxT"	19524
"138xF"	"100x32"	"CMOVxFxT"	19340
"138xF"	"100x32"	"CMOVxFxT"	19040
"138xF"	"100x32"	"CMOVxFxT"	18588
"138xF"	"100x32"	"CMOVxFxT"	17920
"16777216xF"	"Tx8"	"TxTxF"	30489781268
"16777216xF"	"Tx8"	"TxTxF"	30372244300
"16777216xF"	"Tx8"	"TxTxF"	29961272452
"16777216xF"	"Tx8"	"TxTxF"	29839744028
"16777216xF"	"Tx8"	"TxTxF"	29737628164
"597xT"	"Fx32"	"CMOVxFxF"	42212
"597xT"	"Fx32"	"CMOVxFxF"	41472
"597xT"	"Fx32"	"CMOVxFxF"	41960
"597xT"	"Fx32"	"CMOVxFxF"	39336
"597xT"	"Fx32"	"CMOVxFxF"	39612
"597x500"	"50x8"	"TxTxF"	113120
"597x500"	"50x8"	"TxTxF"	114024
"597x500"	"50x8"	"TxTxF"	108240
"597x500"	"50x8"	"TxTxF"	107032
"597x500"	"50x8"	"TxTxF"	108764
"3883400x10"	"50x16"	"CMOVxTxT"	353367028
"3883400x10"	"50x16"	"CMOVxTxT"	370825552
"3883400x10"	"50x16"	"CMOVxTxT"	358577304
"3883400x10"	"50x16"	"CMOVxTxT"	353902660
"3883400x10"	"50x16"	"CMOVxTxT"	356155432
"2580x10"	"500x16"	"CMOVxFxT"	401512
"2580x10"	"500x16"	"CMOVxFxT"	393792
"2580x10"	"500x16"	"CMOVxFxT"	391700
"2580x10"	"500x16"	"CMOVxFxT"	391952
"2580x10"	"500x16"	"CMOVxFxT"	391344
"48160xT"	"1000x8"	"FxTxT"	18217468
"48160xT"	"1000x8"	"FxTxT"	18158264
"48160xT"	"1000x8"	"FxTxT"	17630264
"48160xT"	"1000x8"	"FxTxT"	17650588
"48160xT"	"1000x8"	"FxTxT"	17508260
"208064xF"	"1000x16"	"TxTxF"	59878360
"208064xF"	"1000x16"	"TxTxF"	60300572
"208064xF"	"1000x16"	"TxTxF"	60106580
"208064xF"	"1000x16"	"TxTxF"	59411736
"208064xF"	"1000x16"	"TxTxF"	59685856
"16777216x10"	"1x32"	"FxFxF"	2210956840
"16777216x10"	"1x32"	"FxFxF"	2201963892
"16777216x10"	"1x32"	"FxFxF"	2315600680
"16777216x10"	"1x32"	"FxFxF"	2348514500
"16777216x10"	"1x32"	"FxFxF"	2217930000
"32xF"	"1xF"	"TxTxF"	3532
"32xF"	"1xF"	"TxTxF"	3304
"32xF"	"1xF"	"TxTxF"	3308
"32xF"	"1xF"	"TxTxF"	3332
"32xF"	"1xF"	"TxTxF"	3384
"3883400xT"	"100x8"	"FxFxT"	6234295896
"3883400xT"	"100x8"	"FxFxT"	6219364160
"3883400xT"	"100x8"	"FxFxT"	6212942488
"3883400xT"	"100x8"	"FxFxT"	6073944756
"3883400xT"	"100x8"	"FxFxT"	6081678928
"32xT"	"10x8"	"FxFxT"	3920
"32xT"	"10x8"	"FxFxT"	4196
"32xT"	"10x8"	"FxFxT"	4096
"32xT"	"10x8"	"FxFxT"	3924
"32xT"	"10x8"	"FxFxT"	4020
"2580x10"	"5x16"	"TxFxF"	293308
"2580x10"	"5x16"	"TxFxF"	269396
"2580x10"	"5x16"	"TxFxF"	329012
"2580x10"	"5x16"	"TxFxF"	323168
"2580x10"	"5x16"	"TxFxF"	298808
"16777216xF"	"100x16"	"TxFxF"	3579438864
"16777216xF"	"100x16"	"TxFxF"	3549021424
"16777216xF"	"100x16"	"TxFxF"	3596784884
"16777216xF"	"100x16"	"TxFxF"	3619229120
"16777216xF"	"100x16"	"TxFxF"	3593132152
"2580x10"	"100x16"	"FxFxT"	325968
"2580x10"	"100x16"	"FxFxT"	324812
"2580x10"	"100x16"	"FxFxT"	323308
"2580x10"	"100x16"	"FxFxT"	342668
"2580x10"	"100x16"	"FxFxT"	319552
"597x10"	"500x16"	"FxFxF"	147772
"597x10"	"500x16"	"FxFxF"	147908
"597x10"	"500x16"	"FxFxF"	147232
"597x10"	"500x16"	"FxFxF"	145972
"597x10"	"500x16"	"FxFxF"	145168
"898885x10"	"Tx8"	"FxFxT"	550102948
"898885x10"	"Tx8"	"FxFxT"	550879928
"898885x10"	"Tx8"	"FxFxT"	549705252
"898885x10"	"Tx8"	"FxFxT"	619263132
"898885x10"	"Tx8"	"FxFxT"	634810168
"138x10"	"10xF"	"FxFxT"	14680
"138x10"	"10xF"	"FxFxT"	13488
"138x10"	"10xF"	"FxFxT"	15024
"138x10"	"10xF"	"FxFxT"	13796
"138x10"	"10xF"	"FxFxT"	13872
"32x10"	"5x16"	"FxFxT"	3864
"32x10"	"5x16"	"FxFxT"	3476
"32x10"	"5x16"	"FxFxT"	3592
"32x10"	"5x16"	"FxFxT"	3732
"32x10"	"5x16"	"FxFxT"	3648
"3883400x10"	"Tx16"	"TxFxT"	3499152812
"3883400x10"	"Tx16"	"TxFxT"	3485143404
"3883400x10"	"Tx16"	"TxFxT"	3485823352
"3883400x10"	"Tx16"	"TxFxT"	3479501184
"3883400x10"	"Tx16"	"TxFxT"	3476131744
"597x10"	"Fx32"	"TxFxF"	38300
"597x10"	"Fx32"	"TxFxF"	37548
"597x10"	"Fx32"	"TxFxF"	37348
"597x10"	"Fx32"	"TxFxF"	35932
"597x10"	"Fx32"	"TxFxF"	36788
"48160xF"	"50xF"	"FxTxF"	13228232
"48160xF"	"50xF"	"FxTxF"	13138356
"48160xF"	"50xF"	"FxTxF"	12872484
"48160xF"	"50xF"	"FxTxF"	13188888
"48160xF"	"50xF"	"FxTxF"	12929272
"16777216x500"	"1000x16"	"FxTxF"	5072002176
"16777216x500"	"1000x16"	"FxTxF"	5081537580
"16777216x500"	"1000x16"	"FxTxF"	5087444852
"16777216x500"	"1000x16"	"FxTxF"	5075765516
"16777216x500"	"1000x16"	"FxTxF"	5060965792
"3883400x500"	"50xF"	"CMOVxTxT"	552604364
"3883400x500"	"50xF"	"CMOVxTxT"	555426248
"3883400x500"	"50xF"	"CMOVxTxT"	551493004
"3883400x500"	"50xF"	"CMOVxTxT"	553047448
"3883400x500"	"50xF"	"CMOVxTxT"	547046960
"3883400xT"	"100xF"	"TxTxF"	7832958736
"3883400xT"	"100xF"	"TxTxF"	7666375728
"3883400xT"	"100xF"	"TxTxF"	7621003952
"3883400xT"	"100xF"	"TxTxF"	7590699988
"3883400xT"	"100xF"	"TxTxF"	7548641592
"32x500"	"Fx32"	"FxTxT"	2172
"32x500"	"Fx32"	"FxTxT"	2268
"32x500"	"Fx32"	"FxTxT"	2160
"32x500"	"Fx32"	"FxTxT"	2092
"32x500"	"Fx32"	"FxTxT"	1936
"2580x500"	"500xF"	"CMOVxTxT"	413508
"2580x500"	"500xF"	"CMOVxTxT"	404300
"2580x500"	"500xF"	"CMOVxTxT"	400452
"2580x500"	"500xF"	"CMOVxTxT"	403888
"2580x500"	"500xF"	"CMOVxTxT"	400192
"898885xT"	"Tx16"	"TxTxF"	1185024192
"898885xT"	"Tx16"	"TxTxF"	1225765568
"898885xT"	"Tx16"	"TxTxF"	1214801596
"898885xT"	"Tx16"	"TxTxF"	1528409852
"898885xT"	"Tx16"	"TxTxF"	1690294560
"138x10"	"500xF"	"FxTxT"	22680
"138x10"	"500xF"	"FxTxT"	22808
"138x10"	"500xF"	"FxTxT"	22116
"138x10"	"500xF"	"FxTxT"	21892
"138x10"	"500xF"	"FxTxT"	22076
"16777216x10"	"10x32"	"TxFxF"	2561152472
"16777216x10"	"10x32"	"TxFxF"	2554772224
"16777216x10"	"10x32"	"TxFxF"	2584177732
"16777216x10"	"10x32"	"TxFxF"	2651721864
"16777216x10"	"10x32"	"TxFxF"	2385917316
"48160x10"	"1x32"	"TxFxT"	2394008
"48160x10"	"1x32"	"TxFxT"	1772232
"48160x10"	"1x32"	"TxFxT"	2191672
"48160x10"	"1x32"	"TxFxT"	2108944
"48160x10"	"1x32"	"TxFxT"	1766540
"597x10"	"2x16"	"CMOVxTxF"	48420
"597x10"	"2x16"	"CMOVxTxF"	59824
"597x10"	"2x16"	"CMOVxTxF"	44972
"597x10"	"2x16"	"CMOVxTxF"	46160
"597x10"	"2x16"	"CMOVxTxF"	41244
"597xT"	"50x16"	"CMOVxFxT"	67880
"597xT"	"50x16"	"CMOVxFxT"	88676
"597xT"	"50x16"	"CMOVxFxT"	64532
"597xT"	"50x16"	"CMOVxFxT"	63948
"597xT"	"50x16"	"CMOVxFxT"	63280
"3883400xF"	"50x8"	"CMOVxFxF"	698896892
"3883400xF"	"50x8"	"CMOVxFxF"	745525852
"3883400xF"	"50x8"	"CMOVxFxF"	712904232
"3883400xF"	"50x8"	"CMOVxFxF"	698386580
"3883400xF"	"50x8"	"CMOVxFxF"	706958396
"16777216xT"	"TxF"	"CMOVxTxF"	57087255208
"16777216xT"	"TxF"	"CMOVxTxF"	57893822812
"16777216xT"	"TxF"	"CMOVxTxF"	57251802216
"16777216xT"	"TxF"	"CMOVxTxF"	57046604232
"16777216xT"	"TxF"	"CMOVxTxF"	57068659300
"3883400x10"	"50xF"	"TxFxF"	1243469820
"3883400x10"	"50xF"	"TxFxF"	1261646272
"3883400x10"	"50xF"	"TxFxF"	1252539000
"3883400x10"	"50xF"	"TxFxF"	1235706880
"3883400x10"	"50xF"	"TxFxF"	1239456612
"138xF"	"2x16"	"FxTxF"	16016
"138xF"	"2x16"	"FxTxF"	16568
"138xF"	"2x16"	"FxTxF"	21896
"138xF"	"2x16"	"FxTxF"	17244
"138xF"	"2x16"	"FxTxF"	17512
"32xT"	"5xF"	"CMOVxTxF"	3864
"32xT"	"5xF"	"CMOVxTxF"	3984
"32xT"	"5xF"	"CMOVxTxF"	3684
"32xT"	"5xF"	"CMOVxTxF"	3912
"32xT"	"5xF"	"CMOVxTxF"	3928
"597xT"	"10x8"	"TxTxF"	72480
"597xT"	"10x8"	"TxTxF"	80860
"597xT"	"10x8"	"TxTxF"	71860
"597xT"	"10x8"	"TxTxF"	77188
"597xT"	"10x8"	"TxTxF"	78340
"138xT"	"500xF"	"TxTxT"	20316
"138xT"	"500xF"	"TxTxT"	20180
"138xT"	"500xF"	"TxTxT"	20084
"138xT"	"500xF"	"TxTxT"	19764
"138xT"	"500xF"	"TxTxT"	19784
