"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"138x10"	"5x32"	"CMOVxTxF"	18588
"597x500"	"1000x16"	"FxTxT"	122044
"597x500"	"1000x16"	"FxTxT"	121400
"597x500"	"1000x16"	"FxTxT"	122072
"597x500"	"1000x16"	"FxTxT"	121120
"597x500"	"1000x16"	"FxTxT"	121392
"16777216xT"	"5x16"	"FxTxT"	19984786756
"16777216xT"	"5x16"	"FxTxT"	21787445816
"16777216xT"	"5x16"	"FxTxT"	20156842208
"16777216xT"	"5x16"	"FxTxT"	19853889144
"16777216xT"	"5x16"	"FxTxT"	19279954352
"208064x10"	"500x16"	"TxFxT"	24734692
"208064x10"	"500x16"	"TxFxT"	24714936
"208064x10"	"500x16"	"TxFxT"	24674888
"208064x10"	"500x16"	"TxFxT"	24333360
"208064x10"	"500x16"	"TxFxT"	24688892
"208064x10"	"100x32"	"TxTxF"	45746800
"208064x10"	"100x32"	"TxTxF"	46173000
"208064x10"	"100x32"	"TxTxF"	46414612
"208064x10"	"100x32"	"TxTxF"	45133684
"208064x10"	"100x32"	"TxTxF"	45983676
"2580xT"	"10xF"	"TxFxF"	486048
"2580xT"	"10xF"	"TxFxF"	460208
"2580xT"	"10xF"	"TxFxF"	487840
"2580xT"	"10xF"	"TxFxF"	465576
"2580xT"	"10xF"	"TxFxF"	463588
"48160x10"	"1x8"	"CMOVxFxT"	1978560
"48160x10"	"1x8"	"CMOVxFxT"	1429508
"48160x10"	"1x8"	"CMOVxFxT"	1837040
"48160x10"	"1x8"	"CMOVxFxT"	1743716
"48160x10"	"1x8"	"CMOVxFxT"	1415592
"138x500"	"5xF"	"TxTxF"	19028
"138x500"	"5xF"	"TxTxF"	19772
"138x500"	"5xF"	"TxTxF"	19952
"138x500"	"5xF"	"TxTxF"	18484
"138x500"	"5xF"	"TxTxF"	18780
"32x500"	"100x8"	"CMOVxTxF"	4340
"32x500"	"100x8"	"CMOVxTxF"	4240
"32x500"	"100x8"	"CMOVxTxF"	4208
"32x500"	"100x8"	"CMOVxTxF"	4188
"32x500"	"100x8"	"CMOVxTxF"	3936
"3883400xF"	"100x16"	"CMOVxTxT"	390041480
"3883400xF"	"100x16"	"CMOVxTxT"	392561364
"3883400xF"	"100x16"	"CMOVxTxT"	389617820
"3883400xF"	"100x16"	"CMOVxTxT"	387178716
"3883400xF"	"100x16"	"CMOVxTxT"	384682524
"898885x500"	"10xF"	"TxTxT"	108147164
"898885x500"	"10xF"	"TxTxT"	109537128
"898885x500"	"10xF"	"TxTxT"	107198916
"898885x500"	"10xF"	"TxTxT"	107540148
"898885x500"	"10xF"	"TxTxT"	112710724
"2580xF"	"10x32"	"CMOVxTxT"	190572
"2580xF"	"10x32"	"CMOVxTxT"	186056
"2580xF"	"10x32"	"CMOVxTxT"	188632
"2580xF"	"10x32"	"CMOVxTxT"	188836
"2580xF"	"10x32"	"CMOVxTxT"	183480
"597xF"	"2x16"	"CMOVxFxT"	29212
"597xF"	"2x16"	"CMOVxFxT"	32640
"597xF"	"2x16"	"CMOVxFxT"	26640
"597xF"	"2x16"	"CMOVxFxT"	27432
"597xF"	"2x16"	"CMOVxFxT"	26032
"11148x500"	"1000x8"	"FxTxF"	3748548
"11148x500"	"1000x8"	"FxTxF"	3685756
"11148x500"	"1000x8"	"FxTxF"	3641700
"11148x500"	"1000x8"	"FxTxF"	3653208
"11148x500"	"1000x8"	"FxTxF"	3647096
"2580x500"	"Tx8"	"CMOVxTxF"	667336
"2580x500"	"Tx8"	"CMOVxTxF"	668228
"2580x500"	"Tx8"	"CMOVxTxF"	665744
"2580x500"	"Tx8"	"CMOVxTxF"	664448
"2580x500"	"Tx8"	"CMOVxTxF"	662932
"11148x10"	"100x32"	"FxFxT"	1337020
"11148x10"	"100x32"	"FxFxT"	1308336
"11148x10"	"100x32"	"FxFxT"	1316144
"11148x10"	"100x32"	"FxFxT"	1306820
"11148x10"	"100x32"	"FxFxT"	1320636
"48160x500"	"1x16"	"TxFxT"	2688852
"48160x500"	"1x16"	"TxFxT"	1931396
"48160x500"	"1x16"	"TxFxT"	2461648
"48160x500"	"1x16"	"TxFxT"	2209872
"48160x500"	"1x16"	"TxFxT"	1717812
"208064xF"	"500x16"	"CMOVxTxF"	55059960
"208064xF"	"500x16"	"CMOVxTxF"	55005948
"208064xF"	"500x16"	"CMOVxTxF"	54840208
"208064xF"	"500x16"	"CMOVxTxF"	54460408
"208064xF"	"500x16"	"CMOVxTxF"	55128476
"138xF"	"100x8"	"TxFxT"	19716
"138xF"	"100x8"	"TxFxT"	19540
"138xF"	"100x8"	"TxFxT"	19480
"138xF"	"100x8"	"TxFxT"	18804
"138xF"	"100x8"	"TxFxT"	18680
"16777216x500"	"1000x32"	"TxFxF"	5026575524
"16777216x500"	"1000x32"	"TxFxF"	5037726080
"16777216x500"	"1000x32"	"TxFxF"	5031782100
"16777216x500"	"1000x32"	"TxFxF"	5016812792
"16777216x500"	"1000x32"	"TxFxF"	5007458852
"32x500"	"10xF"	"CMOVxTxT"	3180
"32x500"	"10xF"	"CMOVxTxT"	3252
"32x500"	"10xF"	"CMOVxTxT"	3232
"32x500"	"10xF"	"CMOVxTxT"	3120
"32x500"	"10xF"	"CMOVxTxT"	3252
"16777216x500"	"1xF"	"FxFxT"	2284501716
"16777216x500"	"1xF"	"FxFxT"	2328155964
"16777216x500"	"1xF"	"FxFxT"	2273476184
"16777216x500"	"1xF"	"FxFxT"	2302709640
"16777216x500"	"1xF"	"FxFxT"	2307703844
"898885x500"	"Tx8"	"CMOVxTxT"	593989280
"898885x500"	"Tx8"	"CMOVxTxT"	613002888
"898885x500"	"Tx8"	"CMOVxTxT"	595402628
"898885x500"	"Tx8"	"CMOVxTxT"	512759040
"898885x500"	"Tx8"	"CMOVxTxT"	517969388
"898885xT"	"Tx32"	"FxFxT"	982240240
"898885xT"	"Tx32"	"FxFxT"	995033784
"898885xT"	"Tx32"	"FxFxT"	988219108
"898885xT"	"Tx32"	"FxFxT"	995044268
"898885xT"	"Tx32"	"FxFxT"	1003247104
"597x500"	"100x16"	"CMOVxFxT"	77356
"597x500"	"100x16"	"CMOVxFxT"	75584
"597x500"	"100x16"	"CMOVxFxT"	75872
"597x500"	"100x16"	"CMOVxFxT"	75800
"597x500"	"100x16"	"CMOVxFxT"	74360
"898885x10"	"100x32"	"CMOVxTxT"	92395588
"898885x10"	"100x32"	"CMOVxTxT"	91921420
