Tweak     Cycles     SD
CxFxT    -0.64106    0.01248
CxTxF     0.02932    0.01248
CxTxT    -0.65298    0.01248
FxFxF     0.30856    0.01248
FxFxT    -0.43997    0.01248
FxTxF     0.29306    0.01248
FxTxT    -0.44372    0.01248
TxFxF     0.01703    0.01248
TxFxT    -0.70801    0.01248
TxTxF     0.02323    0.01248
TxTxT    -0.68746    0.01248
