"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"16777216xF"	"2x8"	"FxFxT"	11036929640
"16777216xF"	"2x8"	"FxFxT"	10094419732
"16777216xF"	"2x8"	"FxFxT"	10644274368
"16777216xF"	"2x8"	"FxFxT"	9062666440
"16777216x500"	"Tx8"	"TxTxT"	87286796808
"16777216x500"	"Tx8"	"TxTxT"	87273662680
"16777216x500"	"Tx8"	"TxTxT"	87776817348
"16777216x500"	"Tx8"	"TxTxT"	89077014596
"16777216x500"	"Tx8"	"TxTxT"	87533084964
"138x500"	"10x16"	"TxFxF"	111340
"138x500"	"10x16"	"TxFxF"	117928
"138x500"	"10x16"	"TxFxF"	137596
"138x500"	"10x16"	"TxFxF"	115468
"138x500"	"10x16"	"TxFxF"	118588
"898885xF"	"1x16"	"CMOVxFxF"	501209220
"898885xF"	"1x16"	"CMOVxFxF"	392987492
"898885xF"	"1x16"	"CMOVxFxF"	489211812
"898885xF"	"1x16"	"CMOVxFxF"	574739680
"898885xF"	"1x16"	"CMOVxFxF"	548705316
"2580x500"	"2x32"	"CMOVxTxF"	1970300
"2580x500"	"2x32"	"CMOVxTxF"	1437216
"2580x500"	"2x32"	"CMOVxTxF"	2011512
"2580x500"	"2x32"	"CMOVxTxF"	2261360
"2580x500"	"2x32"	"CMOVxTxF"	2167552
"597x500"	"100x32"	"CMOVxFxF"	855428
"597x500"	"100x32"	"CMOVxFxF"	856784
"597x500"	"100x32"	"CMOVxFxF"	872156
"597x500"	"100x32"	"CMOVxFxF"	850312
"597x500"	"100x32"	"CMOVxFxF"	858324
"16777216x10"	"2x8"	"TxTxF"	8927745560
"16777216x10"	"2x8"	"TxTxF"	10425391564
"16777216x10"	"2x8"	"TxTxF"	9557924200
"16777216x10"	"2x8"	"TxTxF"	10045603140
"16777216x10"	"2x8"	"TxTxF"	8541301288
"48160x10"	"500x32"	"FxFxF"	104861404
"48160x10"	"500x32"	"FxFxF"	105687368
"48160x10"	"500x32"	"FxFxF"	104662828
