"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Count
"16777216xF"	"100x32"	"TxFxT"	152830080
"16777216xF"	"100x32"	"TxFxT"	151088109
"16777216xF"	"100x32"	"TxFxT"	153733548
"16777216xF"	"100x32"	"TxFxT"	155152840
"16777216xF"	"100x32"	"TxFxT"	152761803
"937xF"	"TxF"	"TxFxT"	8103
"937xF"	"TxF"	"TxFxT"	8111
"937xF"	"TxF"	"TxFxT"	8102
"937xF"	"TxF"	"TxFxT"	8087
"937xF"	"TxF"	"TxFxT"	8126
"4346076xF"	"2xF"	"FxFxT"	49915215
"4346076xF"	"2xF"	"FxFxT"	52792115
"4346076xF"	"2xF"	"FxFxT"	50672734
"4346076xF"	"2xF"	"FxFxT"	53713754
"4346076xF"	"2xF"	"FxFxT"	53616428
"1841xF"	"10xF"	"FxFxT"	13205
"1841xF"	"10xF"	"FxFxT"	12547
"1841xF"	"10xF"	"FxFxT"	12777
"1841xF"	"10xF"	"FxFxT"	13033
"1841xF"	"10xF"	"FxFxT"	12448
"1841xF"	"Tx32"	"TxFxT"	17780
"1841xF"	"Tx32"	"TxFxT"	17831
"1841xF"	"Tx32"	"TxFxT"	17878
"1841xF"	"Tx32"	"TxFxT"	17889
"1841xF"	"Tx32"	"TxFxT"	17883
"477xF"	"2x32"	"FxFxT"	2013
"477xF"	"2x32"	"FxFxT"	2080
"477xF"	"2x32"	"FxFxT"	1912
"477xF"	"2x32"	"FxFxT"	1649
"477xF"	"2x32"	"FxFxT"	1421
"32xF"	"50x8"	"TxFxT"	138
"32xF"	"50x8"	"TxFxT"	131
"32xF"	"50x8"	"TxFxT"	135
"32xF"	"50x8"	"TxFxT"	137
"32xF"	"50x8"	"TxFxT"	137
"7106xF"	"1x32"	"FxFxT"	23321
"7106xF"	"1x32"	"FxFxT"	19792
"7106xF"	"1x32"	"FxFxT"	17729
"7106xF"	"1x32"	"FxFxT"	18073
"7106xF"	"1x32"	"FxFxT"	29665
"148437xF"	"1x32"	"TxFxT"	601563
"148437xF"	"1x32"	"TxFxT"	513346
"148437xF"	"1x32"	"TxFxT"	676980
"148437xF"	"1x32"	"TxFxT"	530242
"148437xF"	"1x32"	"TxFxT"	672758
"408797xF"	"1x16"	"TxFxT"	1668608
"408797xF"	"1x16"	"TxFxT"	1075570
"408797xF"	"1x16"	"TxFxT"	1254512
"408797xF"	"1x16"	"TxFxT"	1416302
"408797xF"	"1x16"	"TxFxT"	1019962
"124xF"	"5xF"	"TxFxT"	529
"124xF"	"5xF"	"TxFxT"	541
"124xF"	"5xF"	"TxFxT"	519
"124xF"	"5xF"	"TxFxT"	525
"124xF"	"5xF"	"TxFxT"	545
"16777216xF"	"1xF"	"FxFxT"	208035531
"16777216xF"	"1xF"	"FxFxT"	210134402
"16777216xF"	"1xF"	"FxFxT"	210194856
"16777216xF"	"1xF"	"FxFxT"	212532731
"16777216xF"	"1xF"	"FxFxT"	209610236
"45xF"	"500x16"	"FxFxT"	191
"45xF"	"500x16"	"FxFxT"	200
"45xF"	"500x16"	"FxFxT"	199
"45xF"	"500x16"	"FxFxT"	201
"45xF"	"500x16"	"FxFxT"	199
"2580xF"	"10x32"	"FxFxT"	15188
"2580xF"	"10x32"	"FxFxT"	14930
"2580xF"	"10x32"	"FxFxT"	15317
"2580xF"	"10x32"	"FxFxT"	15292
"2580xF"	"10x32"	"FxFxT"	14735
"9961xF"	"1x8"	"FxFxT"	17160
"9961xF"	"1x8"	"FxFxT"	17546
"9961xF"	"1x8"	"FxFxT"	15372
"9961xF"	"1x8"	"FxFxT"	21197
"9961xF"	"1x8"	"FxFxT"	17748
"63xF"	"100xF"	"FxFxT"	305
"63xF"	"100xF"	"FxFxT"	297
"63xF"	"100xF"	"FxFxT"	303
"63xF"	"100xF"	"FxFxT"	306
"63xF"	"100xF"	"FxFxT"	302
