"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Count
"937xF"	"1000x32"	"FxFxT"	8115
"937xF"	"1000x32"	"FxFxT"	8160
"32xF"	"Tx32"	"FxFxT"	126
"32xF"	"Tx32"	"FxFxT"	119
"32xF"	"Tx32"	"FxFxT"	123
"32xF"	"Tx32"	"FxFxT"	125
"32xF"	"Tx32"	"FxFxT"	125
"173xF"	"500x32"	"FxFxT"	1085
"173xF"	"500x32"	"FxFxT"	1056
"173xF"	"500x32"	"FxFxT"	1081
"173xF"	"500x32"	"FxFxT"	1083
"173xF"	"500x32"	"FxFxT"	1081
"75549xF"	"50x32"	"FxFxT"	617464
"75549xF"	"50x32"	"FxFxT"	606107
"75549xF"	"50x32"	"FxFxT"	604850
"75549xF"	"50x32"	"FxFxT"	618913
"75549xF"	"50x32"	"FxFxT"	629046
"124xF"	"5x8"	"TxFxT"	433
"124xF"	"5x8"	"TxFxT"	496
"124xF"	"5x8"	"TxFxT"	439
"124xF"	"5x8"	"TxFxT"	454
"124xF"	"5x8"	"TxFxT"	501
"1313xF"	"50x16"	"FxFxT"	9813
"1313xF"	"50x16"	"FxFxT"	9939
"1313xF"	"50x16"	"FxFxT"	9365
"1313xF"	"50x16"	"FxFxT"	10044
"1313xF"	"50x16"	"FxFxT"	9981
"803192xF"	"500x8"	"TxFxT"	8930111
"803192xF"	"500x8"	"TxFxT"	8903207
"803192xF"	"500x8"	"TxFxT"	8940820
"803192xF"	"500x8"	"TxFxT"	8935093
"803192xF"	"500x8"	"TxFxT"	8893346
"8539032xF"	"100x16"	"FxFxT"	74548370
"8539032xF"	"100x16"	"FxFxT"	74023871
"8539032xF"	"100x16"	"FxFxT"	74356137
"8539032xF"	"100x16"	"FxFxT"	73861213
"8539032xF"	"100x16"	"FxFxT"	75465237
"9961xF"	"Tx32"	"TxFxT"	121542
"9961xF"	"Tx32"	"TxFxT"	121563
"9961xF"	"Tx32"	"TxFxT"	121607
"9961xF"	"Tx32"	"TxFxT"	121574
"9961xF"	"Tx32"	"TxFxT"	121549
"105897xF"	"50x32"	"TxFxT"	904069
"105897xF"	"50x32"	"TxFxT"	907746
"105897xF"	"50x32"	"TxFxT"	926719
"105897xF"	"50x32"	"TxFxT"	916071
"105897xF"	"50x32"	"TxFxT"	890592
"4346076xF"	"Tx16"	"FxFxT"	91421575
"4346076xF"	"Tx16"	"FxFxT"	91421563
"4346076xF"	"Tx16"	"FxFxT"	91418882
"4346076xF"	"Tx16"	"FxFxT"	91419436
"4346076xF"	"Tx16"	"FxFxT"	91420900
"6091903xF"	"Fx16"	"FxFxT"	10411388
"6091903xF"	"Fx16"	"FxFxT"	10411388
"6091903xF"	"Fx16"	"FxFxT"	10411388
"6091903xF"	"Fx16"	"FxFxT"	10411388
"6091903xF"	"Fx16"	"FxFxT"	10411388
"291643xF"	"2x16"	"TxFxT"	1159157
"291643xF"	"2x16"	"TxFxT"	1252987
"291643xF"	"2x16"	"TxFxT"	777599
"291643xF"	"2x16"	"TxFxT"	1059054
"291643xF"	"2x16"	"TxFxT"	936205
"9961xF"	"1x32"	"FxFxT"	25136
"9961xF"	"1x32"	"FxFxT"	25546
"9961xF"	"1x32"	"FxFxT"	23430
"9961xF"	"1x32"	"FxFxT"	29075
"9961xF"	"1x32"	"FxFxT"	25778
"2212005xF"	"2xF"	"FxFxT"	24738648
"2212005xF"	"2xF"	"FxFxT"	25236736
"2212005xF"	"2xF"	"FxFxT"	24552885
"2212005xF"	"2xF"	"FxFxT"	25589084
"2212005xF"	"2xF"	"FxFxT"	24491933
"16777216xF"	"10x8"	"TxFxT"	85475677
"16777216xF"	"10x8"	"TxFxT"	85459575
"16777216xF"	"10x8"	"TxFxT"	86936545
"16777216xF"	"10x8"	"TxFxT"	91695080
"16777216xF"	"10x8"	"TxFxT"	78102209
"4346076xF"	"500x32"	"TxFxT"	50182917
"4346076xF"	"500x32"	"TxFxT"	49949465
"4346076xF"	"500x32"	"TxFxT"	49906539
"4346076xF"	"500x32"	"TxFxT"	50176651
"4346076xF"	"500x32"	"TxFxT"	50185061
"208064xF"	"2x8"	"FxFxT"	480302
"208064xF"	"2x8"	"FxFxT"	854568
"208064xF"	"2x8"	"FxFxT"	843688
"208064xF"	"2x8"	"FxFxT"	775192
"208064xF"	"2x8"	"FxFxT"	513659
"45xF"	"5x16"	"TxFxT"	180
"45xF"	"5x16"	"TxFxT"	163
"45xF"	"5x16"	"TxFxT"	153
"45xF"	"5x16"	"TxFxT"	180
"45xF"	"5x16"	"TxFxT"	178
"27432xF"	"FxF"	"TxFxT"	203012
"27432xF"	"FxF"	"TxFxT"	203012
"27432xF"	"FxF"	"TxFxT"	203012
"27432xF"	"FxF"	"TxFxT"	203012
"27432xF"	"FxF"	"TxFxT"	203012
"105897xF"	"500x16"	"FxFxT"	1186987
"105897xF"	"500x16"	"FxFxT"	1197398
"105897xF"	"500x16"	"FxFxT"	1194584
"105897xF"	"500x16"	"FxFxT"	1193562
"105897xF"	"500x16"	"FxFxT"	1198554
"124xF"	"50xF"	"FxFxT"	695
"124xF"	"50xF"	"FxFxT"	669
"124xF"	"50xF"	"FxFxT"	682
"124xF"	"50xF"	"FxFxT"	684
"124xF"	"50xF"	"FxFxT"	677
"477xF"	"100x32"	"TxFxT"	3482
"477xF"	"100x32"	"TxFxT"	3482
"477xF"	"100x32"	"TxFxT"	3469
"477xF"	"100x32"	"TxFxT"	3386
"477xF"	"100x32"	"TxFxT"	3457
"173xF"	"50xF"	"TxFxT"	1039
"173xF"	"50xF"	"TxFxT"	988
"173xF"	"50xF"	"TxFxT"	1063
"173xF"	"50xF"	"TxFxT"	1048
"173xF"	"50xF"	"TxFxT"	1025
"53898xF"	"5x32"	"FxFxT"	285647
"53898xF"	"5x32"	"FxFxT"	310464
"53898xF"	"5x32"	"FxFxT"	274183
"53898xF"	"5x32"	"FxFxT"	302815
"53898xF"	"5x32"	"FxFxT"	251475
"1578085xF"	"10xF"	"FxFxT"	18427932
"1578085xF"	"10xF"	"FxFxT"	18693188
"1578085xF"	"10xF"	"FxFxT"	18061804
"1578085xF"	"10xF"	"FxFxT"	18585371
"1578085xF"	"10xF"	"FxFxT"	18898548
"88xF"	"1000xF"	"TxFxT"	464
"88xF"	"1000xF"	"TxFxT"	466
"88xF"	"1000xF"	"TxFxT"	473
"88xF"	"1000xF"	"TxFxT"	468
"88xF"	"1000xF"	"TxFxT"	470
"16777216xF"	"100xF"	"FxFxT"	251107709
"16777216xF"	"100xF"	"FxFxT"	251209602
"16777216xF"	"100xF"	"FxFxT"	253085133
"16777216xF"	"100xF"	"FxFxT"	253238801
"16777216xF"	"100xF"	"FxFxT"	252640299
"3100571xF"	"1x8"	"FxFxT"	10504707
"3100571xF"	"1x8"	"FxFxT"	7394194
"3100571xF"	"1x8"	"FxFxT"	4656015
"3100571xF"	"1x8"	"FxFxT"	8945500
"3100571xF"	"1x8"	"FxFxT"	8389112
"3617xF"	"500x16"	"TxFxT"	36249
"3617xF"	"500x16"	"TxFxT"	36340
"3617xF"	"500x16"	"TxFxT"	36233
"3617xF"	"500x16"	"TxFxT"	36015
"3617xF"	"500x16"	"TxFxT"	36418
"148437xF"	"50x16"	"TxFxT"	1180252
"148437xF"	"50x16"	"TxFxT"	1168099
"148437xF"	"50x16"	"TxFxT"	1176225
"148437xF"	"50x16"	"TxFxT"	1177637
"148437xF"	"50x16"	"TxFxT"	1149689
"477xF"	"1000x16"	"FxFxT"	3698
"477xF"	"1000x16"	"FxFxT"	3717
"477xF"	"1000x16"	"FxFxT"	3718
"477xF"	"1000x16"	"FxFxT"	3712
"477xF"	"1000x16"	"FxFxT"	3699
"340xF"	"1xF"	"FxFxT"	1381
"340xF"	"1xF"	"FxFxT"	1814
"340xF"	"1xF"	"FxFxT"	1682
"340xF"	"1xF"	"FxFxT"	1455
"340xF"	"1xF"	"FxFxT"	1550
"1578085xF"	"2x8"	"TxFxT"	4885866
"1578085xF"	"2x8"	"TxFxT"	4475057
"1578085xF"	"2x8"	"TxFxT"	4439460
"1578085xF"	"2x8"	"TxFxT"	5836264
"1578085xF"	"2x8"	"TxFxT"	3529252
"1841xF"	"1000x8"	"FxFxT"	17981
"1841xF"	"1000x8"	"FxFxT"	18003
"1841xF"	"1000x8"	"FxFxT"	17937
"1841xF"	"1000x8"	"FxFxT"	17974
"1841xF"	"1000x8"	"FxFxT"	17973
"803192xF"	"TxF"	"FxFxT"	14754642
"803192xF"	"TxF"	"FxFxT"	14754362
"803192xF"	"TxF"	"FxFxT"	14753617
"803192xF"	"TxF"	"FxFxT"	14754059
"803192xF"	"TxF"	"FxFxT"	14754488
"668xF"	"1x16"	"TxFxT"	1851
"668xF"	"1x16"	"TxFxT"	2461
"668xF"	"1x16"	"TxFxT"	1340
"668xF"	"1x16"	"TxFxT"	2865
"668xF"	"1x16"	"TxFxT"	1688
"27432xF"	"2x32"	"FxFxT"	78162
"27432xF"	"2x32"	"FxFxT"	84167
"27432xF"	"2x32"	"FxFxT"	78952
"27432xF"	"2x32"	"FxFxT"	124097
"27432xF"	"2x32"	"FxFxT"	93376
"2580xF"	"50x8"	"TxFxT"	19633
"2580xF"	"50x8"	"TxFxT"	19376
"2580xF"	"50x8"	"TxFxT"	18973
"2580xF"	"50x8"	"TxFxT"	19121
"2580xF"	"50x8"	"TxFxT"	19588
"1313xF"	"5x32"	"TxFxT"	6897
"1313xF"	"5x32"	"TxFxT"	7118
"1313xF"	"5x32"	"TxFxT"	6337
"1313xF"	"5x32"	"TxFxT"	7248
"1313xF"	"5x32"	"TxFxT"	6531
"75549xF"	"5xF"	"TxFxT"	716503
"75549xF"	"5xF"	"TxFxT"	712143
"75549xF"	"5xF"	"TxFxT"	704919
"75549xF"	"5xF"	"TxFxT"	688363
"75549xF"	"5xF"	"TxFxT"	710210
"32xF"	"500xF"	"TxFxT"	124
"32xF"	"500xF"	"TxFxT"	117
"32xF"	"500xF"	"TxFxT"	121
"32xF"	"500xF"	"TxFxT"	123
"32xF"	"500xF"	"TxFxT"	123
"573012xF"	"10x32"	"FxFxT"	3428094
"573012xF"	"10x32"	"FxFxT"	3272921
"573012xF"	"10x32"	"FxFxT"	2738620
"573012xF"	"10x32"	"FxFxT"	3629627
"573012xF"	"10x32"	"FxFxT"	3362964
"13962xF"	"2x32"	"TxFxT"	60062
"13962xF"	"2x32"	"TxFxT"	52573
"13962xF"	"2x32"	"TxFxT"	49607
"13962xF"	"2x32"	"TxFxT"	55229
"13962xF"	"2x32"	"TxFxT"	52131
"243xF"	"Fx8"	"FxFxT"	319
"243xF"	"Fx8"	"FxFxT"	319
"243xF"	"Fx8"	"FxFxT"	319
"243xF"	"Fx8"	"FxFxT"	319
"243xF"	"Fx8"	"FxFxT"	319
"11969176xF"	"Fx32"	"FxFxT"	25421767
"11969176xF"	"Fx32"	"FxFxT"	25421767
"11969176xF"	"Fx32"	"FxFxT"	25421767
"11969176xF"	"Fx32"	"FxFxT"	25421767
"11969176xF"	"Fx32"	"FxFxT"	25421767
"1841xF"	"100x16"	"TxFxT"	15631
"1841xF"	"100x16"	"TxFxT"	15229
"1841xF"	"100x16"	"TxFxT"	15522
"1841xF"	"100x16"	"TxFxT"	15522
"1841xF"	"100x16"	"TxFxT"	15618
"243xF"	"1000x8"	"TxFxT"	1722
"243xF"	"1000x8"	"TxFxT"	1723
"243xF"	"1000x8"	"TxFxT"	1716
"243xF"	"1000x8"	"TxFxT"	1718
"243xF"	"1000x8"	"TxFxT"	1737
"63xF"	"50x32"	"TxFxT"	304
"63xF"	"50x32"	"TxFxT"	292
"63xF"	"50x32"	"TxFxT"	300
"63xF"	"50x32"	"TxFxT"	296
"63xF"	"50x32"	"TxFxT"	295
"27432xF"	"500x32"	"FxFxT"	311024
"27432xF"	"500x32"	"FxFxT"	311777
"27432xF"	"500x32"	"FxFxT"	311355
"27432xF"	"500x32"	"FxFxT"	312621
"27432xF"	"500x32"	"FxFxT"	310846
"937xF"	"5x16"	"FxFxT"	4630
"937xF"	"5x16"	"FxFxT"	3929
"937xF"	"5x16"	"FxFxT"	5015
"937xF"	"5x16"	"FxFxT"	4642
"937xF"	"5x16"	"FxFxT"	4094
"124xF"	"10x8"	"FxFxT"	504
"124xF"	"10x8"	"FxFxT"	600
"124xF"	"10x8"	"FxFxT"	540
"124xF"	"10x8"	"FxFxT"	563
"124xF"	"10x8"	"FxFxT"	557
"8539032xF"	"100xF"	"TxFxT"	124431260
"8539032xF"	"100xF"	"TxFxT"	123756236
"8539032xF"	"100xF"	"TxFxT"	124367071
"8539032xF"	"100xF"	"TxFxT"	123829752
"8539032xF"	"100xF"	"TxFxT"	124675267
"45xF"	"2x16"	"FxFxT"	164
"45xF"	"2x16"	"FxFxT"	129
"45xF"	"2x16"	"FxFxT"	117
"45xF"	"2x16"	"FxFxT"	105
"45xF"	"2x16"	"FxFxT"	118
"13962xF"	"Tx8"	"FxFxT"	178954
"13962xF"	"Tx8"	"FxFxT"	178907
"13962xF"	"Tx8"	"FxFxT"	178999
"13962xF"	"Tx8"	"FxFxT"	178871
"13962xF"	"Tx8"	"FxFxT"	179100
"45xF"	"Tx16"	"TxFxT"	197
"45xF"	"Tx16"	"TxFxT"	204
"45xF"	"Tx16"	"TxFxT"	202
"45xF"	"Tx16"	"TxFxT"	205
"45xF"	"Tx16"	"TxFxT"	203
"1841xF"	"1xF"	"TxFxT"	11919
"1841xF"	"1xF"	"TxFxT"	10988
"1841xF"	"1xF"	"TxFxT"	10267
"1841xF"	"1xF"	"TxFxT"	11932
"1841xF"	"1xF"	"TxFxT"	10824
"124xF"	"1x16"	"TxFxT"	310
"124xF"	"1x16"	"TxFxT"	360
"124xF"	"1x16"	"TxFxT"	281
"124xF"	"1x16"	"TxFxT"	415
"124xF"	"1x16"	"TxFxT"	243
"340xF"	"50x16"	"TxFxT"	2352
"340xF"	"50x16"	"TxFxT"	2318
"340xF"	"50x16"	"TxFxT"	2293
"340xF"	"50x16"	"TxFxT"	2261
"340xF"	"50x16"	"TxFxT"	2318
"105897xF"	"5x8"	"FxFxT"	481188
"105897xF"	"5x8"	"FxFxT"	511051
"105897xF"	"5x8"	"FxFxT"	460622
"105897xF"	"5x8"	"FxFxT"	517560
"105897xF"	"5x8"	"FxFxT"	499530
"937xF"	"Fx32"	"TxFxT"	2298
"937xF"	"Fx32"	"TxFxT"	2298
"937xF"	"Fx32"	"TxFxT"	2298
"937xF"	"Fx32"	"TxFxT"	2298
"937xF"	"Fx32"	"TxFxT"	2298
"53898xF"	"500x8"	"TxFxT"	592172
"53898xF"	"500x8"	"TxFxT"	590290
"53898xF"	"500x8"	"TxFxT"	594187
"53898xF"	"500x8"	"TxFxT"	591008
"53898xF"	"500x8"	"TxFxT"	595693
"75549xF"	"100x32"	"FxFxT"	696506
"75549xF"	"100x32"	"FxFxT"	696553
"75549xF"	"100x32"	"FxFxT"	702455
"75549xF"	"100x32"	"FxFxT"	695943
"75549xF"	"100x32"	"FxFxT"	707925
"1313xF"	"2xF"	"TxFxT"	8048
"1313xF"	"2xF"	"TxFxT"	7602
"1313xF"	"2xF"	"TxFxT"	7205
"1313xF"	"2xF"	"TxFxT"	7704
"1313xF"	"2xF"	"TxFxT"	8283
"6091903xF"	"5x8"	"TxFxT"	25457104
"6091903xF"	"5x8"	"TxFxT"	27598475
"6091903xF"	"5x8"	"TxFxT"	22565189
"6091903xF"	"5x8"	"TxFxT"	31917801
"6091903xF"	"5x8"	"TxFxT"	25536162
"243xF"	"50xF"	"FxFxT"	1536
"243xF"	"50xF"	"FxFxT"	1503
"243xF"	"50xF"	"FxFxT"	1458
"243xF"	"50xF"	"FxFxT"	1501
"243xF"	"50xF"	"FxFxT"	1479
"4346076xF"	"FxF"	"TxFxT"	47720324
"4346076xF"	"FxF"	"TxFxT"	47720324
"4346076xF"	"FxF"	"TxFxT"	47720324
"4346076xF"	"FxF"	"TxFxT"	47720324
"4346076xF"	"FxF"	"TxFxT"	47720324
"38452xF"	"100x16"	"FxFxT"	336380
"38452xF"	"100x16"	"FxFxT"	336504
"38452xF"	"100x16"	"FxFxT"	338726
"38452xF"	"100x16"	"FxFxT"	340220
"38452xF"	"100x16"	"FxFxT"	344801
"1578085xF"	"1x32"	"FxFxT"	5867312
"1578085xF"	"1x32"	"FxFxT"	4818276
"1578085xF"	"1x32"	"FxFxT"	4067418
"1578085xF"	"1x32"	"FxFxT"	5009040
"1578085xF"	"1x32"	"FxFxT"	4341617
"32xF"	"1000xF"	"FxFxT"	124
"32xF"	"1000xF"	"FxFxT"	117
"32xF"	"1000xF"	"FxFxT"	121
"32xF"	"1000xF"	"FxFxT"	123
"32xF"	"1000xF"	"FxFxT"	123
"3100571xF"	"1000x8"	"TxFxT"	37507013
"3100571xF"	"1000x8"	"TxFxT"	37648359
"3100571xF"	"1000x8"	"TxFxT"	37584867
"3100571xF"	"1000x8"	"TxFxT"	37614373
"3100571xF"	"1000x8"	"TxFxT"	37513594
"16777216xF"	"TxF"	"TxFxT"	381436434
"16777216xF"	"TxF"	"TxFxT"	381436518
"16777216xF"	"TxF"	"TxFxT"	381435624
"16777216xF"	"TxF"	"TxFxT"	381434924
"16777216xF"	"TxF"	"TxFxT"	381444359
"2580xF"	"Tx32"	"TxFxT"	26473
"2580xF"	"Tx32"	"TxFxT"	26456
"2580xF"	"Tx32"	"TxFxT"	26439
"2580xF"	"Tx32"	"TxFxT"	26457
"2580xF"	"Tx32"	"TxFxT"	26467
"9961xF"	"100x32"	"TxFxT"	91353
"9961xF"	"100x32"	"TxFxT"	92002
"9961xF"	"100x32"	"TxFxT"	92592
"9961xF"	"100x32"	"TxFxT"	91547
"9961xF"	"100x32"	"TxFxT"	90809
"88xF"	"500x8"	"FxFxT"	483
"88xF"	"500x8"	"FxFxT"	489
"88xF"	"500x8"	"FxFxT"	489
"88xF"	"500x8"	"FxFxT"	493
"88xF"	"500x8"	"FxFxT"	494
"8539032xF"	"Tx32"	"FxFxT"	186900421
"8539032xF"	"Tx32"	"FxFxT"	186899201
"8539032xF"	"Tx32"	"FxFxT"	186896620
"8539032xF"	"Tx32"	"FxFxT"	186900894
"8539032xF"	"Tx32"	"FxFxT"	186898964
"291643xF"	"100x8"	"FxFxT"	2433795
"291643xF"	"100x8"	"FxFxT"	2441874
"291643xF"	"100x8"	"FxFxT"	2543077
"291643xF"	"100x8"	"FxFxT"	2470676
"291643xF"	"100x8"	"FxFxT"	2473696
"13962xF"	"100x16"	"TxFxT"	126585
"13962xF"	"100x16"	"TxFxT"	128731
"13962xF"	"100x16"	"TxFxT"	127511
"13962xF"	"100x16"	"TxFxT"	125663
"13962xF"	"100x16"	"TxFxT"	125482
"477xF"	"500xF"	"TxFxT"	3648
"477xF"	"500xF"	"TxFxT"	3665
"477xF"	"500xF"	"TxFxT"	3665
"477xF"	"500xF"	"TxFxT"	3657
"477xF"	"500xF"	"TxFxT"	3648
"3100571xF"	"1x8"	"FxFxT"	10504707
"3100571xF"	"1x8"	"FxFxT"	7394194
"3100571xF"	"1x8"	"FxFxT"	4656015
"3100571xF"	"1x8"	"FxFxT"	8945500
"3100571xF"	"1x8"	"FxFxT"	8389112
"803192xF"	"500x16"	"TxFxT"	9230418
"803192xF"	"500x16"	"TxFxT"	9202490
"803192xF"	"500x16"	"TxFxT"	9243144
"803192xF"	"500x16"	"TxFxT"	9234749
"803192xF"	"500x16"	"TxFxT"	9194614
"1125835xF"	"Tx8"	"TxFxT"	21760185
"1125835xF"	"Tx8"	"TxFxT"	21759469
"1125835xF"	"Tx8"	"TxFxT"	21758310
"1125835xF"	"Tx8"	"TxFxT"	21758232
"1125835xF"	"Tx8"	"TxFxT"	21759584
"208064xF"	"10x8"	"TxFxT"	1138365
"208064xF"	"10x8"	"TxFxT"	1239013
"208064xF"	"10x8"	"TxFxT"	1226180
"208064xF"	"10x8"	"TxFxT"	1059765
"208064xF"	"10x8"	"TxFxT"	1215083
"408797xF"	"50xF"	"TxFxT"	4922857
"408797xF"	"50xF"	"TxFxT"	4924624
"408797xF"	"50xF"	"TxFxT"	4926167
"408797xF"	"50xF"	"TxFxT"	4901438
"408797xF"	"50xF"	"TxFxT"	4963707
"2580xF"	"2x32"	"FxFxT"	10592
"2580xF"	"2x32"	"FxFxT"	7250
"2580xF"	"2x32"	"FxFxT"	10927
"2580xF"	"2x32"	"FxFxT"	12378
"2580xF"	"2x32"	"FxFxT"	11896
"19571xF"	"100x8"	"TxFxT"	166574
"19571xF"	"100x8"	"TxFxT"	168350
"19571xF"	"100x8"	"TxFxT"	168266
"19571xF"	"100x8"	"TxFxT"	164735
"19571xF"	"100x8"	"TxFxT"	162452
"6091903xF"	"100xF"	"FxFxT"	87203250
"6091903xF"	"100xF"	"FxFxT"	87733518
"6091903xF"	"100xF"	"FxFxT"	87429098
"6091903xF"	"100xF"	"FxFxT"	87394670
"6091903xF"	"100xF"	"FxFxT"	87536131
"63xF"	"1000x16"	"FxFxT"	317
"63xF"	"1000x16"	"FxFxT"	309
"63xF"	"1000x16"	"FxFxT"	315
"63xF"	"1000x16"	"FxFxT"	318
"63xF"	"1000x16"	"FxFxT"	314
"38452xF"	"5x32"	"TxFxT"	184132
"38452xF"	"5x32"	"TxFxT"	206693
"38452xF"	"5x32"	"TxFxT"	184881
"38452xF"	"5x32"	"TxFxT"	200564
"38452xF"	"5x32"	"TxFxT"	203742
"75549xF"	"5xF"	"TxFxT"	716503
"75549xF"	"5xF"	"TxFxT"	712143
"75549xF"	"5xF"	"TxFxT"	704919
"75549xF"	"5xF"	"TxFxT"	688363
"75549xF"	"5xF"	"TxFxT"	710210
"148437xF"	"5xF"	"FxFxT"	1395692
"148437xF"	"5xF"	"FxFxT"	1380041
"148437xF"	"5xF"	"FxFxT"	1451243
"148437xF"	"5xF"	"FxFxT"	1477071
"148437xF"	"5xF"	"FxFxT"	1476113
"208064xF"	"500xF"	"FxFxT"	2720803
"208064xF"	"500xF"	"FxFxT"	2727930
"208064xF"	"500xF"	"FxFxT"	2720031
"208064xF"	"500xF"	"FxFxT"	2706695
"208064xF"	"500xF"	"FxFxT"	2734439
"7106xF"	"1xF"	"FxFxT"	46090
"7106xF"	"1xF"	"FxFxT"	45677
"7106xF"	"1xF"	"FxFxT"	44688
"7106xF"	"1xF"	"FxFxT"	44862
"7106xF"	"1xF"	"FxFxT"	48932
"19571xF"	"TxF"	"FxFxT"	254666
"19571xF"	"TxF"	"FxFxT"	254779
"19571xF"	"TxF"	"FxFxT"	254761
"19571xF"	"TxF"	"FxFxT"	254700
"19571xF"	"TxF"	"FxFxT"	254712
"148437xF"	"Fx8"	"TxFxT"	198569
"148437xF"	"Fx8"	"TxFxT"	198569
"148437xF"	"Fx8"	"TxFxT"	198569
"148437xF"	"Fx8"	"TxFxT"	198569
"148437xF"	"Fx8"	"TxFxT"	198569
"243xF"	"2x8"	"TxFxT"	704
"243xF"	"2x8"	"TxFxT"	864
"243xF"	"2x8"	"TxFxT"	442
"243xF"	"2x8"	"TxFxT"	843
"243xF"	"2x8"	"TxFxT"	701
"173xF"	"1000x16"	"TxFxT"	1112
"173xF"	"1000x16"	"TxFxT"	1096
"173xF"	"1000x16"	"TxFxT"	1112
"173xF"	"1000x16"	"TxFxT"	1113
"173xF"	"1000x16"	"TxFxT"	1118
"16777216xF"	"2xF"	"FxFxT"	209149224
"16777216xF"	"2xF"	"FxFxT"	216229972
"16777216xF"	"2xF"	"FxFxT"	210529688
"16777216xF"	"2xF"	"FxFxT"	214024199
"16777216xF"	"2xF"	"FxFxT"	209565377
"803192xF"	"Fx16"	"FxFxT"	1409775
"803192xF"	"Fx16"	"FxFxT"	1409775
"803192xF"	"Fx16"	"FxFxT"	1409775
"803192xF"	"Fx16"	"FxFxT"	1409775
"803192xF"	"Fx16"	"FxFxT"	1409775
"1125835xF"	"2x8"	"FxFxT"	1820728
"1125835xF"	"2x8"	"FxFxT"	2880652
"1125835xF"	"2x8"	"FxFxT"	3327600
"1125835xF"	"2x8"	"FxFxT"	2987437
"1125835xF"	"2x8"	"FxFxT"	2513502
"173xF"	"1x16"	"FxFxT"	317
"173xF"	"1x16"	"FxFxT"	439
"173xF"	"1x16"	"FxFxT"	346
"173xF"	"1x16"	"FxFxT"	334
"173xF"	"1x16"	"FxFxT"	488
"27432xF"	"10xF"	"TxFxT"	247565
"27432xF"	"10xF"	"TxFxT"	237627
"27432xF"	"10xF"	"TxFxT"	244567
"27432xF"	"10xF"	"TxFxT"	247734
"27432xF"	"10xF"	"TxFxT"	244577
"32xF"	"50x8"	"TxFxT"	138
"32xF"	"50x8"	"TxFxT"	131
"32xF"	"50x8"	"TxFxT"	135
"32xF"	"50x8"	"TxFxT"	137
"32xF"	"50x8"	"TxFxT"	137
"4346076xF"	"5x32"	"FxFxT"	22675578
"4346076xF"	"5x32"	"FxFxT"	22358755
"4346076xF"	"5x32"	"FxFxT"	21054245
"4346076xF"	"5x32"	"FxFxT"	24127630
"4346076xF"	"5x32"	"FxFxT"	24215136
"477xF"	"FxF"	"FxFxT"	2074
"477xF"	"FxF"	"FxFxT"	2074
"477xF"	"FxF"	"FxFxT"	2074
"477xF"	"FxF"	"FxFxT"	2074
"477xF"	"FxF"	"FxFxT"	2074
"340xF"	"1000x8"	"FxFxT"	2582
"340xF"	"1000x8"	"FxFxT"	2586
"340xF"	"1000x8"	"FxFxT"	2554
"340xF"	"1000x8"	"FxFxT"	2571
"340xF"	"1000x8"	"FxFxT"	2552
"5070xF"	"2x16"	"TxFxT"	19250
"5070xF"	"2x16"	"TxFxT"	21977
"5070xF"	"2x16"	"TxFxT"	12062
"5070xF"	"2x16"	"TxFxT"	21923
"5070xF"	"2x16"	"TxFxT"	18867
"1841xF"	"10x32"	"FxFxT"	11642
"1841xF"	"10x32"	"FxFxT"	10810
"1841xF"	"10x32"	"FxFxT"	11478
"1841xF"	"10x32"	"FxFxT"	11821
"1841xF"	"10x32"	"FxFxT"	10684
"2212005xF"	"1x32"	"TxFxT"	8416446
"2212005xF"	"1x32"	"TxFxT"	9091174
"2212005xF"	"1x32"	"TxFxT"	5133742
"2212005xF"	"1x32"	"TxFxT"	8857169
"2212005xF"	"1x32"	"TxFxT"	8363428
"88xF"	"10x16"	"TxFxT"	390
"88xF"	"10x16"	"TxFxT"	432
"88xF"	"10x16"	"TxFxT"	394
"88xF"	"10x16"	"TxFxT"	449
"88xF"	"10x16"	"TxFxT"	377
"291643xF"	"5x16"	"TxFxT"	1332483
"291643xF"	"5x16"	"TxFxT"	1568700
"291643xF"	"5x16"	"TxFxT"	881515
"291643xF"	"5x16"	"TxFxT"	1214182
"291643xF"	"5x16"	"TxFxT"	1386005
"5070xF"	"50x8"	"FxFxT"	39570
"5070xF"	"50x8"	"FxFxT"	37361
"5070xF"	"50x8"	"FxFxT"	37293
"5070xF"	"50x8"	"FxFxT"	36790
"5070xF"	"50x8"	"FxFxT"	38568
"1313xF"	"50x32"	"FxFxT"	10059
"1313xF"	"50x32"	"FxFxT"	10111
"1313xF"	"50x32"	"FxFxT"	9603
"1313xF"	"50x32"	"FxFxT"	10259
"1313xF"	"50x32"	"FxFxT"	10229
"53898xF"	"Fx8"	"FxFxT"	75027
"53898xF"	"Fx8"	"FxFxT"	75027
"53898xF"	"Fx8"	"FxFxT"	75027
"53898xF"	"Fx8"	"FxFxT"	75027
"53898xF"	"Fx8"	"FxFxT"	75027
"7106xF"	"1000xF"	"TxFxT"	77448
"7106xF"	"1000xF"	"TxFxT"	77576
"7106xF"	"1000xF"	"TxFxT"	77809
"7106xF"	"1000xF"	"TxFxT"	77822
"7106xF"	"1000xF"	"TxFxT"	77564
"9961xF"	"Tx16"	"FxFxT"	121934
"9961xF"	"Tx16"	"FxFxT"	122002
